iter	Passed	Remaining
480	15810	17059
481	15844	17028
482	15876	16993
483	15906	16958
484	15939	16925
485	15967	16887
486	15998	16853
487	16032	16820
488	16064	16787
489	16096	16753
490	16128	16719
491	16156	16681
492	16186	16646
493	16217	16610
494	16247	16575
495	16279	16541
496	16311	16508
497	16345	16476
498	16377	16443
499	16410	16410
500	16444	16379
501	16477	16346
502	16508	16311
503	16539	16276
504	16573	16244
505	16605	16211
506	16639	16180
507	16671	16146
508	16703	16112
509	16733	16077
510	16766	16044
511	16798	16011
512	16829	15976
513	16867	15948
514	16899	15914
515	16930	15880
516	16963	15847
517	16995	15814
518	17026	15780
519	17058	15746
520	17090	15713
521	17123	15679
522	17152	15644
523	17185	15611
524	17218	15578
525	17248	15542
526	17281	15510
527	17317	15480
528	17350	15447
529	17383	15415
530	17415	15381
531	17448	15349
532	17478	15314
533	17505	15276
534	17536	15242
535	17567	15207
536	17600	15174
537	17626	15136
538	17657	15102
539	17689	15068
540	17720	15034
541	17751	15000
542	17782	14965
543	17813	14932
544	17849	14901
545	17879	14866
546	17911	14833
547	17942	14799
548	17975	14766
549	18007	14733
550	18041	14702
551	18077	14671
552	18109	14638
553	18140	14604
554	18171	14570
555	18206	14539
556	18242	14509
557	18273	14474
558	18305	14441
559	18337	14408
560	18372	14377
561	18404	14343
562	18437	14311
563	18473	14280
564	18504	14247
565	18536	14213
566	18568	14180
567	18603	14148
568	18637	14117
569	18669	14084
570	18703	14052
571	18737	14020
572	18769	13986
573	18803	13955
574	18835	13921
575	18867	13888
576	18901	13857
577	18935	13825
578	18966	13791
579	18999	13757
580	19032	13725
581	19065	13692
582	19098	13660
583	19130	13627
584	19162	13593
585	19194	13560
586	19227	13527
587	19256	13492
588	19288	13459
589	19321	13426
590	19355	13395
591	19390	13363
592	19425	13332
593	19458	13300
594	19494	13269
595	19523	13234
596	19556	13201
597	19589	13168
598	19620	13135
599	19654	13103
600	19691	13073
601	19724	13040
602	19756	13007
603	19788	12974
604	19821	12941
605	19854	12908
606	19890	12878
607	19924	12845
608	19955	12812
609	19984	12776
610	20015	12743
611	20045	12708
612	20076	12674
613	20108	12641
614	20138	12607
615	20171	12574
616	20202	12540
617	20240	12510
618	20273	12478
619	20305	12445
620	20337	12412
621	20368	12378
622	20398	12344
623	20429	12310
624	20462	12277
625	20493	12243
626	20525	12210
627	20557	12177
628	20589	12144
629	20622	12111
630	20654	12078
631	20685	12044
632	20717	12011
633	20750	11978
634	20781	11945
635	20817	11914
636	20849	11881
637	20882	11848
638	20912	11814
639	20946	11782
640	20978	11749
641	21012	11717
642	21045	11684
643	21077	11651
644	21113	11620
645	21146	11588
646	21184	11557
647	21217	11525
648	21249	11492
649	21282	11459
650	21314	11426
651	21343	11391
652	21378	11360
653	21409	11326
654	21439	11292
655	21469	11258
656	21501	11225
657	21532	11191
658	21561	11157
659	21589	11121
660	21618	11087
661	21650	11054
662	21681	11020
663	21714	10987
664	21747	10955
665	21779	10922
666	21806	10886
667	21841	10855
668	21875	10823
669	21910	10791
670	21941	10758
671	21973	10725
672	22005	10692
673	22037	10659
674	22069	10625
675	22099	10591
676	22135	10560
677	22165	10527
678	22194	10492
679	22224	10458
680	22258	10426
681	22291	10393
682	22326	10362
683	22357	10328
684	22390	10296
685	22421	10262
686	22453	10230
687	22484	10196
688	22515	10162
689	22546	10129
690	22578	10096
691	22609	10063
692	22642	10030
693	22674	9997
694	22705	9964
695	22739	9932
696	22771	9899
697	22797	9863
698	22829	9830
699	22863	9798
700	22895	9765
701	22926	9732
702	22958	9699
703	22989	9666
704	23025	9634
705	23059	9602
706	23087	9568
707	23120	9535
708	23151	9502
709	23183	9469
710	23216	9436
711	23249	9404
712	23283	9372
713	23315	9339
714	23347	9306
715	23378	9272
716	23409	9239
717	23445	9208
718	23476	9175
719	23508	9142
720	23540	9109
721	23571	9075
722	23604	9043
723	23637	9010
724	23670	8978
725	23703	8946
726	23736	8913
727	23771	8881
728	23804	8849
729	23836	8816
730	23868	8783
731	23899	8750
732	23930	8716
733	23961	8683
734	23993	8650
735	24020	8616
736	24052	8583
737	24083	8550
738	24115	8517
739	24151	8485
740	24182	8452
741	24214	8419
742	24247	8386
743	24277	8353
744	24312	8321
745	24344	8288
746	24377	8256
747	24410	8223
748	24441	8190
749	24473	8157
750	24509	8126
751	24541	8093
752	24570	8059
753	24601	8026
754	24632	7993
755	24663	7960
756	24694	7927
757	24725	7893
758	24758	7861
759	24792	7829
760	24824	7796
761	24856	7763
762	24888	7730
763	24922	7698
764	24952	7665
765	24985	7632
766	25018	7600
767	25051	7567
768	25088	7536
769	25123	7504
770	25156	7471
771	25186	7438
772	25218	7405
773	25250	7372
774	25280	7339
775	25312	7306
776	25343	7273
777	25375	7240
778	25409	7208
779	25442	7176
780	25479	7144
781	25509	7111
782	25539	7078
783	25569	7044
784	25600	7011
785	25633	6979
786	25666	6946
787	25702	6914
788	25737	6882
789	25769	6849
790	25800	6817
791	25831	6784
792	25863	6751
793	25894	6718
794	25925	6685
795	25958	6652
796	25989	6619
797	26017	6585
798	26051	6553
799	26087	6521
800	26119	6489
801	26151	6456
802	26184	6423
803	26215	6390
804	26242	6356
805	26275	6324
806	26306	6291
807	26339	6258
808	26375	6227
809	26408	6194
810	26441	6162
811	26478	6130
812	26509	6097
813	26541	6064
814	26572	6031
815	26603	5998
816	26635	5966
817	26667	5933
818	26699	5900
819	26734	5868
820	26762	5834
821	26793	5801
822	26824	5769
823	26851	5735
824	26882	5702
825	26915	5669
826	26943	5636
827	26976	5603
828	27007	5570
829	27039	5538
830	27073	5505
831	27108	5473
832	27141	5441
833	27170	5408
834	27204	5375
835	27234	5342
836	27266	5309
837	27298	5277
838	27330	5244
839	27365	5212
840	27398	5179
841	27429	5147
842	27469	5115
843	27502	5083
844	27535	5050
845	27568	5018
846	27604	4986
847	27636	4953
848	27669	4921
849	27700	4888
850	27732	4855
851	27765	4823
852	27800	4790
853	27832	4758
854	27865	4725
855	27898	4693
856	27929	4660
857	27961	4627
858	27993	4594
859	28023	4562
860	28056	4529
861	28087	4496
862	28122	4464
863	28155	4431
864	28187	4399
865	28213	4365
866	28246	4333
867	28279	4300
868	28312	4268
869	28342	4235
870	28375	4202
871	28410	4170
872	28461	4140
873	28496	4108
874	28529	4075
875	28565	4043
876	28597	4010
877	28633	3978
878	28672	3946
879	28702	3914
880	28730	3880
881	28761	3847
882	28793	3815
883	28820	3781
884	28851	3749
885	28882	3716
886	28915	3683
887	28946	3650
888	28977	3618
889	29008	3585
890	29041	3552
891	29072	3520
892	29107	3487
893	29139	3455
894	29169	3422
895	29201	3389
896	29232	3356
897	29264	3323
898	29293	3291
899	29327	3258
900	29360	3226
901	29395	3193
902	29428	3161
903	29461	3128
904	29493	3095
905	29525	3063
906	29556	3030
907	29586	2997
908	29620	2965
909	29652	2932
910	29684	2900
911	29716	2867
912	29746	2834
913	29781	2802
914	29813	2769
915	29844	2736
916	29876	2704
917	29910	2671
918	29939	2638
919	29974	2606
920	30005	2573
921	30040	2541
922	30073	2508
923	30105	2476
924	30137	2443
925	30170	2411
926	30202	2378
927	30235	2345
928	30266	2313
929	30304	2280
930	30340	2248
931	30373	2216
932	30406	2183
933	30440	2151
934	30472	2118
935	30505	2085
936	30537	2053
937	30573	2020
938	30606	1988
939	30638	1955
940	30670	1923
941	30701	1890
942	30734	1857
943	30767	1825
944	30799	1792
945	30833	1760
946	30866	1727
947	30903	1695
948	30935	1662
949	30971	1630
950	31008	1597
951	31044	1565
952	31075	1532
953	31108	1499
954	31139	1467
955	31171	1434
956	31209	1402
957	31242	1369
958	31270	1336
959	31303	1304
960	31337	1271
961	31370	1239
962	31401	1206
963	31432	1173
964	31463	1141
965	31496	1108
966	31530	1076
967	31563	1043
968	31593	1010
969	31624	978
970	31655	945
971	31689	912
972	31717	880
973	31751	847
974	31784	814
975	31815	782
976	31850	749
977	31881	717
978	31913	684
979	31944	651
980	31977	619
981	32012	586
982	32044	554
983	32076	521
984	32107	488
985	32139	456
986	32169	423
987	32198	391
988	32230	358
989	32263	325
990	32296	293
991	32330	260
992	32361	228
993	32393	195
994	32426	162
995	32458	130
996	32490	97
997	32519	65
998	32550	32
999	32580	0
